iter	Passed	Remaining
0	216	64676
1	283	42267
2	347	34364
3	415	30736
4	487	28774
5	557	27305
6	626	26213
7	698	25499
8	767	24809
9	859	24926
10	925	24314
11	990	23771
12	1064	23494
13	1134	23179
14	1207	22944
15	1279	22707
16	1341	22324
17	1410	22095
18	1503	22232
19	1572	22018
20	1640	21793
21	1705	21552
22	1771	21335
23	1845	21222
24	1915	21070
25	1979	20861
26	2041	20642
27	2102	20427
28	2169	20270
29	2228	20055
30	2293	19904
31	2376	19901
32	2436	19717
33	2493	19508
34	2552	19323
35	2612	19160
36	2678	19037
37	2753	18986
38	2811	18816
39	2878	18707
40	2940	18575
41	2999	18427
42	3055	18260
43	3109	18092
44	3166	17941
45	3219	17776
46	3280	17657
47	3336	17518
48	3396	17399
49	3451	17257
50	3510	17140
51	3564	17000
52	3624	16893
53	3680	16767
54	3734	16636
55	3821	16651
56	3881	16548
57	3973	16579
58	4086	16691
59	4208	16833
60	4305	16869
61	4363	16748
62	4423	16640
63	4478	16513
64	4535	16398
65	4589	16272
66	4672	16249
67	4761	16243
68	4836	16193
69	4923	16176
70	4997	16117
71	5090	16118
72	5175	16092
73	5279	16122
74	5372	16117
75	5447	16055
76	5530	16015
77	5613	15976
78	5706	15962
79	5770	15868
80	5824	15746
81	5878	15629
82	5934	15515
83	5991	15405
84	6048	15299
85	6109	15202
86	6199	15178
87	6322	15232
88	6389	15148
89	6460	15074
90	6526	14990
91	6581	14880
92	6639	14777
93	6700	14683
94	6791	14655
95	6861	14579
96	6923	14489
97	6988	14404
98	7055	14324
99	7123	14247
100	7191	14169
101	7264	14101
102	7358	14074
103	7442	14025
104	7497	13923
105	7551	13819
106	7605	13717
107	7662	13622
108	7717	13524
109	7773	13426
110	7856	13377
111	7921	13296
112	7985	13215
113	8052	13139
114	8118	13059
115	8191	12993
116	8279	12950
117	8339	12862
118	8403	12781
119	8466	12700
120	8532	12621
121	8589	12531
122	8646	12442
123	8716	12372
124	8777	12287
125	8838	12205
126	8893	12114
127	8945	12020
128	9000	11931
129	9076	11869
130	9158	11815
131	9210	11722
132	9273	11644
133	9328	11556
134	9388	11475
135	9441	11385
136	9500	11304
137	9555	11217
138	9616	11138
139	9693	11078
140	9754	10999
141	9833	10941
142	9884	10852
143	9942	10770
144	9996	10686
145	10049	10600
146	10105	10517
147	10156	10431
148	10210	10347
149	10264	10264
150	10313	10176
151	10369	10096
152	10422	10013
153	10478	9934
154	10531	9852
155	10588	9773
156	10641	9692
157	10692	9609
158	10742	9526
159	10805	9454
160	10859	9375
161	10922	9304
162	10976	9225
163	11033	9149
164	11083	9068
165	11150	9000
166	11211	8929
167	11258	8846
168	11317	8772
169	11379	8702
170	11436	8627
171	11490	8551
172	11548	8478
173	11612	8409
174	11671	8336
175	11733	8266
176	11789	8192
177	11848	8121
178	11908	8049
179	11972	7981
180	12033	7911
181	12100	7845
182	12174	7783
183	12246	7720
184	12317	7657
185	12381	7588
186	12432	7512
187	12491	7441
188	12546	7368
189	12618	7305
190	12680	7236
191	12732	7161
192	12782	7086
193	12830	7010
194	12882	6936
195	12938	6865
196	12994	6794
197	13045	6720
198	13100	6648
199	13152	6576
200	13206	6504
201	13293	6449
202	13398	6402
203	13470	6338
204	13532	6271
205	13587	6200
206	13641	6128
207	13705	6061
208	13758	5990
209	13812	5919
210	13870	5850
211	13925	5780
212	13979	5710
213	14036	5640
214	14296	5651
215	14383	5593
216	14447	5525
217	14504	5455
218	14553	5382
219	14607	5311
220	14660	5240
221	14716	5170
222	14777	5102
223	14824	5029
224	14876	4958
225	14924	4886
226	14977	4816
227	15029	4746
228	15083	4676
229	15135	4606
230	15190	4537
231	15240	4466
232	15295	4398
233	15348	4329
234	15395	4258
235	15448	4189
236	15499	4120
237	15565	4054
238	15637	3991
239	15703	3925
240	15755	3857
241	15805	3788
242	15864	3721
243	15918	3653
244	15977	3586
245	16032	3519
246	16092	3453
247	16150	3386
248	16204	3318
249	16261	3252
250	16315	3185
251	16371	3118
252	16427	3051
253	16481	2984
254	16538	2918
255	16601	2853
256	16658	2787
257	16713	2720
258	16766	2654
259	16821	2587
260	16873	2521
261	16930	2455
262	16981	2388
263	17045	2324
264	17111	2259
265	17166	2194
266	17219	2128
267	17273	2062
268	17325	1996
269	17378	1930
270	17427	1864
271	17474	1798
272	17526	1733
273	17582	1668
274	17638	1603
275	17693	1538
276	17746	1473
277	17798	1408
278	17849	1343
279	17902	1278
280	17955	1214
281	18023	1150
282	18083	1086
283	18141	1022
284	18192	957
285	18251	893
286	18300	828
287	18355	764
288	18409	700
289	18463	636
290	18546	573
291	18601	509
292	18652	445
293	18708	381
294	18769	318
295	18820	254
296	18868	190
297	18921	126
298	18978	63
299	19033	0
